ringno_season,yday,yday200,pfmg,sex
CV15019_2018-2019,54,219,0.8615,female
CV69989_2018-2019,61,226,0.5946250000000001,female
CV46743_2008-2009,331,131,1,female
CV15003_2018-2019,54,219,0.7353750000000001,female
CV15023_2018-2019,54,219,0.914375,female
CV43286_2007-2008,93,258,0.9796250000000001,female
CV15017_2018-2019,54,219,0.8615,female
CC09266_2019-2020,338,138,0.042625,female
CV15042_2018-2019,55,220,0.7041250000000001,female
CV56200_2009-2010,145,310,1,female
CV68226_2016-2017,147,312,1,female
CV15027_2018-2019,54,219,0.688125,female
CV47009_2008-2009,107,272,0.9845,female
CV69921_2018-2019,56,221,1,female
CV69926_2018-2019,56,221,1,female
CV69940_2018-2019,57,222,1,female
CV69936_2018-2019,57,222,1,female
CV56055_2009-2010,84,249,0.7673749999999999,female
CV47025_2008-2009,107,272,1,female
CC46104_2019-2020,339,139,0.40287500000000004,female
CV69699_2018-2019,54,219,1,female
CV56046_2009-2010,84,249,0.7829999999999999,female
CV15007_2018-2019,54,219,1,female
CV69950_2018-2019,59,224,1,female
CC09298_2019-2020,339,139,0.085875,female
CV69869_2018-2019,61,226,1,female
CV56199_2009-2010,145,310,1,female
CV09630_2007-2008,144,309,1,female
CV56044_2009-2010,84,249,0.6102500000000001,female
CV15024_2018-2019,54,219,1,female
CV56064_2009-2010,84,249,0.951875,female
CV15026_2018-2019,54,219,0.864125,female
CV69945_2018-2019,57,222,1,female
CC46161_2019-2020,342,142,0,female
CV69949_2018-2019,57,222,1,female
CC09262_2019-2020,338,138,1,female
CC52704_2001-2002,315,115,1,female
CV69958_2018-2019,59,224,0.9845,female
CV15018_2018-2019,54,219,0.5946250000000001,female
CV58349_2011-2012,365,165,0.233625,female
CV70000_2018-2019,61,226,1,female
CV09631_2007-2008,144,309,1,female
CV43290_2007-2008,93,258,1,female
CV56077_2009-2010,84,249,1,female
CV69929_2018-2019,56,221,0.832125,female
CV69953_2018-2019,59,224,0.61075,female
CV43304_2007-2008,93,258,1,female
CV15005_2018-2019,54,219,0.5795,female
CC46112_2019-2020,339,139,0.431375,female
CC46101_2019-2020,339,139,1,female
CV58348_2011-2012,365,165,0.815,female
CV69957_2018-2019,59,224,0.8696250000000001,female
CV56041_2009-2010,84,249,1,female
CV47023_2008-2009,107,272,1,female
CV56410_2009-2010,200,0,0,female
CC09299_2019-2020,339,139,0.14125,female
CV69698_2018-2019,54,219,0.656875,female
CV15039_2018-2019,54,219,0.9715,male
CV56182_2009-2010,145,310,1,male
CV56279_2009-2010,173,338,1,male
CV68314_2017-2018,364,164,0.085875,male
CV69994_2018-2019,61,226,0.6102500000000001,male
CV68219_2016-2017,140,305,1,male
CV11264_2011-2012,57,222,1,male
CV43376_2007-2008,109,274,0.9845,male
CV69762_2018-2019,13,178,0.374375,male
CC15751_2018-2019,96,261,0.8728750000000001,male
CC46272_2019-2020,346,146,0.488125,male
CV43276_2007-2008,87,252,1,male
CV69861_2018-2019,61,226,1,male
CV69844_2018-2019,57,222,0.9535000000000001,male
CV69928_2018-2019,56,221,1,male
CV56201_2009-2010,145,310,1,male
CC46253_2019-2020,346,146,0.085875,male
CV58755_2014-2015,333,133,1,male
CV15015_2018-2019,54,219,0.8625,male
CV69743_2018-2019,359,159,0.41575,male
CV58001_2010-2011,85,250,1,male
CV68085_2016-2017,8,173,0,male
CV43064_2009-2010,23,188,0.098,male
CV43274_2007-2008,87,252,0.951875,male
CV56642_2019-2020,339,139,1,male
CV56203_2009-2010,145,310,1,male
CV43337_2007-2008,100,265,0.9421250000000001,male
CV15011_2018-2019,54,219,1,male
CV58779_2014-2015,38,203,0.9225,male
CV56165_2009-2010,145,310,1,male
CC91000_2009-2010,147,312,0,male
CV68384_2017-2018,132,297,1,male
CV56455_2010-2011,236,36,1,male
CC46109_2019-2020,339,139,0.40287500000000004,male
CC40206_2019-2020,345,145,0.0105,male
CV69964_2018-2019,59,224,0.832125,male
CC09293_2019-2020,339,139,0.24650000000000002,male
CV56405_2009-2010,197,362,0,male
CV69993_2018-2019,61,226,1,male
CV15045_2018-2019,55,220,1,male
CA49832_2021-2022,333,133,0.431375,male
CV56924_2010-2011,29,194,0.9715,male
CV58567_2012-2013,357,157,0.40287500000000004,male
CV68084_2016-2017,8,173,0.32225000000000004,male
CV69863_2018-2019,61,226,0.9845,male
CV56695_2020-2021,265,65,1,male
CC15744_2018-2019,75,240,0.904875,male
CV53995_2009-2010,57,222,0.688125,male
CV69862_2018-2019,61,226,0.6415000000000001,male
CV56163_2009-2010,145,310,1,male
CV69841_2018-2019,56,221,0.7353750000000001,male
CV67955_2015-2016,100,265,0.9535000000000001,male
CV09296_2009-2010,330,130,1,male
CV69718_2018-2019,340,140,0.14125,male
CV69719_2018-2019,340,140,0.32225000000000004,male
CV46940_2008-2009,73,238,0.47275,male
CV69955_2018-2019,59,224,0.7877500000000001,male
CV56087_2009-2010,85,250,0.951875,male
CV09265_2009-2010,233,33,0,male
CC40207_2019-2020,346,146,0.44425,male
CV56646_2019-2020,339,139,0.11737500000000001,male
CV69785_2018-2019,26,191,0.9225,male
CV46812_2008-2009,7,172,0.257875,male
CV56892_2010-2011,15,180,0.6415000000000001,male
CV56821_2010-2011,343,143,0.085875,male
CC46178_2019-2020,342,142,0.518875,male
CC09263_2019-2020,338,138,0.41575,male
CV68251_2017-2018,231,31,1,male
CV56211_2009-2010,147,312,1,male
CV56103_2009-2010,84,249,0.656875,male
CV78856_2021-2022,120,285,1,male
CV68320_2017-2018,364,164,0.0105,male
CV56281_2009-2010,173,338,1,male
CV15044_2018-2019,55,220,0.982875,male
CV56295_2009-2010,189,354,0,male
CV56670_2019-2020,342,142,0.15175,male
CV46742_2008-2009,331,131,1,male
CC46122_2019-2020,342,142,0.40287500000000004,male
CV56827_2010-2011,348,148,0.47275,male
CV56207_2009-2010,147,312,1,male
CV56406_2009-2010,197,362,0,male
CV68312_2017-2018,364,164,0.211125,male
CV69739_2018-2019,359,159,0.27225,male
CV43392_2007-2008,121,286,1,male
CV68189_2016-2017,140,305,1,male
CV53932_2009-2010,48,213,0.261125,male
CV56847_2010-2011,355,155,0.19824999999999998,male
CC46258_2019-2020,346,146,0.488125,male
CV69864_2018-2019,61,226,1,male
CV56198_2009-2010,145,310,1,male
